make,model,body_style,transmission_clean,drivetrain_clean,seller_type_clean,year,mileage_clean,bids_clean,is_manual,is_rwd,is_private_seller,is_high_mileage,sale_price,sold_status,title,auction_date,location,car_age
Mercedes-Benz,S-Class,Sedan,Automatic,4WD/AWD,Private Party,2019.0,77000.0,40.0,0,0,1,0,30250.0,sold,2019 Mercedes-Benz S560 4Matic Sedan,"Ended October 29th, 2025 at 2:39 AM","Louisville, CO 80027",7.0
Porsche,997 911,Convertible,Automatic,4WD/AWD,Dealer,2011.0,40600.0,9.0,0,0,0,0,82000.0,sold,2011 Porsche 911 Turbo Cabriolet,"Ended November 22nd, 2025 at 4:30 AM","Alpharetta, GA 30009",15.0
Nissan,Pickup,Truck,Manual,4WD/AWD,Private Party,1990.0,5100.0,36.0,1,0,1,0,8500.0,sold,1990 Nissan Datsun D21 4x4 Fire Truck,Ended February 26th at 4:45 AM,"Frisco, TX 75035",36.0
Daihatsu,Mira,Hatchback,Automatic,FWD,Dealer,2000.0,68500.0,24.0,0,0,0,0,5432.0,sold,2000 Daihatsu Mira Gino,Ended January 16th at 4:18 AM,"Ceres, CA 95307",26.0
Lexus,LS,Sedan,Automatic,RWD,Dealer,2001.0,109800.0,24.0,0,1,0,1,8000.0,sold,2001 Lexus LS 430,"Ended November 6th, 2025 at 3:04 AM","Pompano Beach, FL 33060",25.0
Toyota,Starlet,Hatchback,Automatic,FWD,Private Party,1992.0,32900.0,19.0,0,0,1,0,5600.0,sold,1992 Toyota Starlet GT Turbo,"Ended December 23rd, 2025 at 3:22 AM","Morganville, NJ 07751",34.0
Lincoln,Mark V,Coupe,Automatic,RWD,Private Party,1978.0,18200.0,80.0,0,1,1,0,15250.0,sold,1978 Lincoln Continental Mark V,Ended January 16th at 3:15 AM,"Brooklyn, NY 11224",48.0
Jaguar,F-Pace,SUV/Crossover,Automatic,4WD/AWD,Dealer,2022.0,18500.0,30.0,0,0,0,0,27000.0,sold,2022 Jaguar F-Pace P250 S,Ended January 16th at 2:50 AM,"Loveland, CO 80538",4.0
Oldsmobile,Silhouette,Van/Minivan,Automatic,FWD,Private Party,1994.0,71400.0,27.0,0,0,1,0,7300.0,sold,1994 Oldsmobile Silhouette Special Edition,"Ended October 24th, 2025 at 1:35 AM","Scarsdale, NY 10583",32.0
Rivian,R1T,Truck,Automatic,4WD/AWD,Private Party,2022.0,43500.0,21.0,0,0,1,0,43000.0,sold,2022 Rivian R1T Adventure Edition,"Ended November 21st, 2025 at 4:07 AM","Kirkland, WA 98033",4.0
Land Rover,Defender,SUV/Crossover,Automatic,4WD/AWD,Private Party,2023.0,13600.0,45.0,0,0,1,0,62500.0,sold,2023 Land Rover Defender 110 S TReK Edition,Ended February 17th at 4:07 AM,"Costa Mesa, CA 92626",3.0
Honda,Civic Type R,Hatchback,Manual,FWD,Private Party,2021.0,30.0,11.0,1,0,1,0,52581.0,sold,2021 Honda Civic Type R Limited Edition,"Ended November 6th, 2025 at 2:43 AM","Cathedral City, CA 92234",5.0
Aston Martin,DB9,Coupe,Automatic,RWD,Dealer,2006.0,30900.0,44.0,0,1,0,0,38500.0,sold,2006 Aston Martin DB9 Coupe,Ended January 17th at 3:11 AM,"Saint Louis, MO 63132",20.0
Bentley,Arnage,Sedan,Automatic,RWD,Private Party,2002.0,50700.0,14.0,0,1,1,0,19250.0,sold,2002 Bentley Arnage T,"Ended November 29th, 2025 at 2:24 AM","San Diego, CA 92103",24.0
Jaguar,XE,Sedan,Automatic,4WD/AWD,Dealer,2017.0,102300.0,25.0,0,0,0,1,8200.0,sold,2017 Jaguar XE 20d Prestige,"Ended November 13th, 2025 at 3:06 AM","Ceres, CA 95307",9.0
Porsche,986 Boxster,Convertible,Manual,RWD,Private Party,2001.0,82000.0,33.0,1,1,1,0,12500.0,sold,2001 Porsche Boxster S,"Ended October 17th, 2025 at 1:34 AM","Kansas City, MO 64120",25.0
Ford,F-150 Raptor,Truck,Automatic,4WD/AWD,Private Party,2018.0,146300.0,29.0,0,0,1,1,37250.0,sold,2018 Ford F-150 Raptor,Ended February 12th at 3:12 AM,"Raleigh, NC 27617",8.0
Nissan,350Z,Coupe,Manual,RWD,Dealer,2007.0,42100.0,34.0,1,1,0,0,17500.0,sold,2007 Nissan 350Z Touring Coupe,Ended January 28th at 4:34 AM,"Lees Summit, MO 64086",19.0
Mercedes-Benz,R230 SL,Convertible,Automatic,RWD,Private Party,2007.0,45700.0,22.0,0,1,1,0,11400.0,sold,2007 Mercedes-Benz SL550,"Ended December 31st, 2025 at 4:36 AM","Sherman Oaks, CA 91423",19.0
Mazda,NC Miata,Convertible,Automatic,RWD,Private Party,2015.0,8900.0,36.0,0,1,1,0,24750.0,sold,2015 Mazda MX-5 Miata 25th Anniversary Edition,"Ended October 17th, 2025 at 3:55 AM","Mchenry, IL 60051",11.0
Ferrari,GTC4Lusso,Hatchback,Automatic,RWD,Private Party,2018.0,22900.0,24.0,0,1,1,0,134500.0,sold,2018 Ferrari GTC4Lusso T,Ended January 30th at 2:38 AM,"Austin, TX 78738",8.0
Saab,9000,Sedan,Manual,FWD,Private Party,1989.0,199600.0,15.0,1,0,1,1,4500.0,sold,1989 Saab 9000 Turbo CD,"Ended October 25th, 2025 at 3:50 AM","Montreal, QC, Canada",37.0
BMW,3 Series,Convertible,Automatic,RWD,Private Party,1991.0,103800.0,13.0,0,1,1,1,8550.0,sold,1991 BMW 325i Convertible,Ended February 28th at 3:06 AM,"Fort Myers, FL 33912",35.0
Porsche,987 Cayman,Coupe,Manual,RWD,Dealer,2008.0,40300.0,25.0,1,1,0,0,31987.0,sold,2008 Porsche Cayman,"Ended November 21st, 2025 at 4:02 AM","East Petersburg, PA 17520",18.0
Audi,RS5,Coupe,Automatic,4WD/AWD,Private Party,2014.0,52500.0,30.0,0,0,1,0,33250.0,sold,2014 Audi RS5 Coupe,"Ended November 20th, 2025 at 4:18 AM","Powell, TN 37849",12.0
Jeep,Wrangler,SUV/Crossover,Manual,4WD/AWD,Dealer,2000.0,120100.0,54.0,1,0,0,1,9100.0,sold,2000 Jeep Wrangler Sport 4x4,"Ended November 6th, 2025 at 3:52 AM","Pompano Beach, FL 33060",26.0
Nissan,Stagea,Wagon,Manual,RWD,Private Party,1998.0,67900.0,39.0,1,1,1,0,26250.0,sold,1998 Nissan Stagea 25T RS-V,"Ended November 26th, 2025 at 3:29 AM","Milford, DE 19963",28.0
Volvo,V90,Wagon,Automatic,4WD/AWD,Private Party,2022.0,50200.0,32.0,0,0,1,0,39000.0,sold,2022 Volvo V90 Cross Country B6 AWD,"Ended November 18th, 2025 at 4:30 AM","Indianola, IA 50125",4.0
Alfa Romeo,Giulia,Sedan,Automatic,RWD,Private Party,2018.0,49500.0,27.0,0,1,1,0,35000.0,sold,2018 Alfa Romeo Giulia Quadrifoglio,"Ended November 26th, 2025 at 4:40 AM","Mercer Island, WA 98040",8.0
Toyota,4Runner,SUV/Crossover,Automatic,4WD/AWD,Dealer,2001.0,206300.0,29.0,0,0,0,1,8250.0,sold,2001 Toyota 4Runner Limited 4x4,"Ended November 20th, 2025 at 3:13 AM","Hagerstown, MD 21740",25.0
BMW,M2,Coupe,Manual,RWD,Private Party,2017.0,45900.0,16.0,1,1,1,0,36250.0,sold,2017 BMW M2,"Ended November 21st, 2025 at 2:46 AM","Walnut Creek, CA 94598",9.0
Mercedes-Benz,R129 SL,Convertible,Automatic,RWD,Dealer,1995.0,111300.0,48.0,0,1,0,1,8069.0,sold,1995 Mercedes-Benz SL500,"Ended October 24th, 2025 at 1:52 AM","Roswell, GA 30075",31.0
Rivian,R1S,SUV/Crossover,Automatic,4WD/AWD,Private Party,2026.0,2300.0,20.0,0,0,1,0,66000.0,sold,2026 Rivian R1S Adventure Edition,"Ended December 23rd, 2025 at 3:02 AM","Glenview, IL 60025",0.0
Porsche,944,Coupe,Manual,RWD,Dealer,1986.0,102000.0,55.0,1,1,0,1,30250.0,sold,1986 Porsche 944 Turbo,"Ended December 30th, 2025 at 4:54 AM","Cedar Rapids, IA 52404",40.0
BMW,5 Series,Hatchback,Automatic,RWD,Dealer,2013.0,69100.0,28.0,0,1,0,0,8300.0,sold,2013 BMW 535i Gran Turismo,"Ended November 19th, 2025 at 2:57 AM","New Orleans, LA 70115",13.0
Mercedes-Benz,GLA AMG,SUV/Crossover,Automatic,4WD/AWD,Private Party,2018.0,31400.0,48.0,0,0,1,0,28500.0,sold,2018 Mercedes-AMG GLA45 Yellow Night Edition,"Ended November 8th, 2025 at 3:20 AM","Toronto, ON, Canada",8.0
Mercedes-Benz,G Wagen,SUV/Crossover,Automatic,4WD/AWD,Private Party,2002.0,183600.0,31.0,0,0,1,1,17250.0,sold,2002 Mercedes-Benz G500,"Ended October 24th, 2025 at 3:56 AM","Sewickley, PA 15143",24.0
Ferrari,FF,Coupe,Automatic,4WD/AWD,Dealer,2012.0,14100.0,50.0,0,0,0,0,129500.0,sold,2012 Ferrari FF,"Ended November 29th, 2025 at 5:45 AM","Kissimmee, FL 34758",14.0
BMW,X5,SUV/Crossover,Automatic,4WD/AWD,Dealer,2013.0,51100.0,53.0,0,0,0,0,17000.0,sold,2013 BMW X5 xDrive35i,Ended February 28th at 3:37 AM,"Lathrop, CA 95330",13.0
Volkswagen,Golf,Hatchback,Manual,FWD,Private Party,2012.0,122200.0,19.0,1,0,1,1,6000.0,sold,2012 Volkswagen Golf TDI,Ended January 29th at 4:04 AM,"Costa Mesa, CA 92626",14.0
Mercedes-Benz,Sprinter,Van/Minivan,Automatic,RWD,Dealer,2013.0,44400.0,62.0,0,1,0,0,37000.0,sold,2013 Mercedes-Benz Sprinter 2500,"Ended November 12th, 2025 at 4:26 AM","San Ramon, CA 94583",13.0
Jeep,Cherokee,SUV/Crossover,Manual,4WD/AWD,Private Party,1999.0,232200.0,11.0,1,0,1,1,5000.0,sold,1999 Jeep Cherokee SE 4x4,Ended January 6th at 4:58 AM,"Manlius, NY 13104",27.0
BMW,X5,SUV/Crossover,Automatic,4WD/AWD,Dealer,2013.0,113000.0,23.0,0,0,0,1,9900.0,sold,2013 BMW X5 xDrive35d,"Ended November 21st, 2025 at 3:49 AM","Lathrop, CA 95330",13.0
Suzuki,Carry Truck,Truck,Automatic,4WD/AWD,Dealer,2000.0,20900.0,22.0,0,0,0,0,4700.0,sold,2000 Suzuki Carry Truck 4x4,Ended March 3rd at 3:18 AM,"Tacoma, WA 98409",26.0
MINI,Cooper,Hatchback,Manual,FWD,Dealer,2003.0,84500.0,14.0,1,0,0,0,5600.0,sold,2003 Mini Cooper S,Ended January 31st at 3:14 AM,"Ceres, CA 95307",23.0
Hummer,H2,Truck,Automatic,4WD/AWD,Dealer,2006.0,119900.0,42.0,0,0,0,1,16300.0,sold,2006 Hummer H2 SUT,Ended February 27th at 4:29 AM,"Pompano Beach, FL 33062",20.0
Dodge,Ram Van,Van/Minivan,Automatic,RWD,Private Party,1998.0,115300.0,48.0,0,1,1,1,17425.0,sold,1998 Dodge Ram Van B3500,Ended February 6th at 3:54 AM,"Beaverton, OR 97007",28.0
Toyota,Supra,Coupe,Automatic,RWD,Private Party,2022.0,12900.0,22.0,0,1,1,0,23750.0,sold,2022 Toyota GR Supra 2.0,Ended February 3rd at 4:43 AM,"Houston, TX 77090",4.0
Land Rover,Discovery,SUV/Crossover,Automatic,4WD/AWD,Private Party,1999.0,159000.0,36.0,0,0,1,1,10300.0,sold,1999 Land Rover Discovery II,"Ended December 6th, 2025 at 2:43 AM","San Antonio, TX 78239",27.0
BMW,3 Series,Sedan,Manual,RWD,Private Party,2004.0,83800.0,51.0,1,1,1,0,16250.0,sold,2004 BMW 330i ZHP Sedan,"Ended November 19th, 2025 at 4:02 AM","Ocoee, FL 34761",22.0
Ford,Fiesta,Hatchback,Manual,FWD,Private Party,2016.0,37900.0,12.0,1,0,1,0,9600.0,sold,2016 Ford Fiesta ST,"Ended December 13th, 2025 at 3:24 AM","Hereford, AZ 85615",10.0
Suzuki,Carry Truck,Truck,Automatic,RWD,Dealer,1999.0,54500.0,26.0,0,1,0,0,6600.0,sold,1999 Suzuki Carry Truck Turbo,Ended January 17th at 3:20 AM,"Boyds, MD 20841",27.0
Audi,B5 S4,Sedan,Manual,4WD/AWD,Private Party,2001.0,176600.0,37.0,1,0,1,1,11300.0,sold,2001 Audi S4 Sedan,Ended January 28th at 3:02 AM,"Austin, TX 78730",25.0
Acura,NSX,Coupe,Automatic,RWD,Dealer,1990.0,81100.0,28.0,0,1,0,0,46500.0,sold,1990 Honda NSX,"Ended November 7th, 2025 at 2:54 AM","Tacoma, WA 98409",36.0
Mercedes-Benz,R231 SL,Convertible,Automatic,RWD,Dealer,2014.0,68700.0,46.0,0,1,0,0,25500.0,sold,2014 Mercedes-Benz SL550,Ended February 17th at 3:58 AM,"Memphis, TN 38134",12.0
BMW,1 Series,Coupe,Manual,RWD,Private Party,2009.0,89800.0,14.0,1,1,1,0,14444.0,sold,2009 BMW 135i Coupe,Ended January 27th at 4:42 AM,"Tustin, CA 92782",17.0
Audi,RS5,Coupe,Automatic,4WD/AWD,Private Party,2013.0,99300.0,19.0,0,0,1,0,20000.0,sold,2013 Audi RS5 Coupe,"Ended October 31st, 2025 at 3:44 AM","Tacoma, WA 98466",13.0
Subaru,WRX,Hatchback,Manual,4WD/AWD,Private Party,2011.0,88100.0,22.0,1,0,1,0,18000.0,sold,2011 Subaru Impreza WRX Limited Hatchback,"Ended December 24th, 2025 at 3:55 AM","Morro Bay, CA 93442",15.0
Toyota,Land Cruiser,SUV/Crossover,Automatic,4WD/AWD,Dealer,1995.0,183900.0,22.0,0,0,0,1,29250.0,sold,1995 Toyota Land Cruiser,Ended January 24th at 5:04 AM,"Hot Springs National Park, AR 71901",31.0
Mercedes-Benz,W212 E63 AMG,Sedan,Automatic,4WD/AWD,Private Party,2015.0,40000.0,23.0,0,0,1,0,35500.0,sold,2015 Mercedes-Benz E63 S AMG Sedan,Ended February 25th at 4:20 AM,"Thousand Oaks, CA 91362",11.0
Porsche,986 Boxster,Convertible,Manual,RWD,Private Party,1999.0,88500.0,29.0,1,1,1,0,7500.0,sold,1999 Porsche Boxster,Ended January 21st at 5:45 AM,"Troy, AL 36081",27.0
Honda,Vamos,Van/Minivan,Automatic,RWD,Private Party,1999.0,64300.0,29.0,0,1,1,0,8100.0,sold,1999 Honda Vamos,Ended January 27th at 4:24 AM,"Torrance, CA 90501",27.0
Pontiac,Firebird,Coupe,Automatic,RWD,Private Party,1987.0,70400.0,93.0,0,1,1,0,13833.0,sold,1987 Pontiac Firebird Trans Am GTA,Ended February 17th at 3:11 AM,"Pullman, WA 99163",39.0
Ford,Mustang,Coupe,Manual,RWD,Dealer,2016.0,22100.0,28.0,1,1,0,0,49876.0,sold,2016 Ford Mustang Shelby GT350,Ended February 27th at 4:31 AM,"Rockville, MD 20850",10.0
Toyota,Land Cruiser,SUV/Crossover,Automatic,4WD/AWD,Dealer,2001.0,234700.0,17.0,0,0,0,1,12500.0,sold,2001 Toyota Land Cruiser,Ended February 5th at 2:31 AM,"Marietta, GA 30060",25.0
BMW,M2,Coupe,Automatic,RWD,Private Party,2024.0,5200.0,23.0,0,1,1,0,57500.0,sold,2024 BMW M2,"Ended November 19th, 2025 at 4:25 AM","Hoffman Estates, IL 60169",2.0
Think,Neighbor,Convertible,Automatic,RWD,Private Party,2002.0,200.0,18.0,0,1,1,0,3800.0,sold,2002 Think Neighbor,"Ended November 14th, 2025 at 4:42 AM","Dayton, NV 89403",24.0
Lexus,GX,SUV/Crossover,Automatic,4WD/AWD,Private Party,2008.0,181400.0,53.0,0,0,1,1,13600.0,sold,2008 Lexus GX 470,Ended February 3rd at 3:38 AM,"Englewood Cliffs, NJ 07632",18.0
Porsche,Cayenne,SUV/Crossover,Automatic,4WD/AWD,Dealer,2017.0,90000.0,47.0,0,0,0,0,20000.0,sold,2017 Porsche Cayenne S E-Hybrid Platinum Edition,Ended January 1st at 4:37 AM,"Fort Lauderdale, FL 33311",9.0
Mercedes-Benz,C-Class AMG,Coupe,Automatic,4WD/AWD,Private Party,2021.0,38400.0,44.0,0,0,1,0,31500.0,sold,2021 Mercedes-AMG C43 Coupe,"Ended December 31st, 2025 at 2:51 AM","Yonkers, NY 10710",5.0
Volkswagen,Golf R,Hatchback,Automatic,4WD/AWD,Private Party,2024.0,11500.0,21.0,0,0,1,0,37500.0,sold,2024 Volkswagen Golf R,"Ended October 21st, 2025 at 2:30 AM","Westerville, OH 43081",2.0
Porsche,Macan,SUV/Crossover,Automatic,4WD/AWD,Private Party,2018.0,65600.0,39.0,0,0,1,0,34250.0,sold,2018 Porsche Macan GTS,Ended January 16th at 3:16 AM,"Upton, MA 01568",8.0
Lexus,RC F,Coupe,Automatic,RWD,Private Party,2017.0,19900.0,51.0,0,1,1,0,42000.0,sold,2017 Lexus RC F,"Ended December 11th, 2025 at 4:18 AM","Kissimmee, FL 34746",9.0
Lexus,GX,SUV/Crossover,Automatic,4WD/AWD,Dealer,2003.0,204800.0,21.0,0,0,0,1,7500.0,sold,2003 Lexus GX 470,"Ended December 11th, 2025 at 4:26 AM","Pompano Beach, FL 33060",23.0
Mercedes-Benz,GL-Class,SUV/Crossover,Automatic,4WD/AWD,Private Party,2015.0,26400.0,34.0,0,0,1,0,27000.0,sold,2015 Mercedes-Benz GL550,"Ended November 15th, 2025 at 3:55 AM","San Francisco, CA 94121",11.0
BMW,X1,SUV/Crossover,Automatic,4WD/AWD,Dealer,2013.0,126000.0,54.0,0,0,0,1,14600.0,sold,2013 BMW X1 xDrive35i,"Ended November 26th, 2025 at 4:46 AM","San Diego, CA 92103",13.0
Pontiac,Firebird,Convertible,Manual,RWD,Private Party,1995.0,56200.0,61.0,1,1,1,0,14205.0,sold,1995 Pontiac Firebird Trans Am Convertible,Ended February 26th at 4:32 AM,"Queensbury, NY 12804",31.0
Toyota,HiAce,Van/Minivan,Automatic,RWD,Private Party,1995.0,152400.0,49.0,0,1,1,1,10350.0,sold,1995 Toyota HiAce Super Custom Living Saloon,"Ended November 13th, 2025 at 4:37 AM","Buffalo, NY 14201",31.0
Mazda,NC Miata,Convertible,Manual,RWD,Private Party,2006.0,120700.0,18.0,1,1,1,1,10000.0,sold,2006 Mazda MX-5 Miata Sport,Ended January 21st at 5:16 AM,"Brewster, MA 02631",20.0
Honda,Civic,Coupe,Manual,FWD,Dealer,2007.0,97000.0,14.0,1,0,0,0,7000.0,sold,2007 Honda Civic Si Coupe,Ended January 22nd at 3:25 AM,"Orlando, FL 32820",19.0
MINI,Cooper,Hatchback,Manual,FWD,Private Party,2021.0,18300.0,38.0,1,0,1,0,31500.0,sold,2021 Mini Cooper John Cooper Works Hardtop,"Ended November 27th, 2025 at 3:58 AM","Saint Petersburg, FL 33704",5.0
BMW,E60 M5,Sedan,Manual,RWD,Dealer,2007.0,153300.0,43.0,1,1,0,1,29888.0,sold,2007 BMW M5,Ended February 19th at 4:36 AM,"Tualatin, OR 97062",19.0
Toyota,Land Cruiser,SUV/Crossover,Automatic,4WD/AWD,Private Party,1997.0,89100.0,16.0,0,0,1,0,39500.0,sold,1997 Toyota Land Cruiser,Ended February 26th at 2:50 AM,"Houston, TX 77007",29.0
Jeep,Wrangler,SUV/Crossover,Automatic,4WD/AWD,Private Party,2009.0,8000.0,27.0,0,0,1,0,17750.0,sold,2009 Jeep Wrangler X 4x4,Ended January 7th at 3:36 AM,"West Palm Beach, FL 33410",17.0
BMW,7 Series,Sedan,Automatic,RWD,Private Party,2018.0,48600.0,2.0,0,1,1,0,36925.0,sold,2018 BMW 750i,Ended January 8th at 4:30 AM,"Northridge, CA 91325",8.0
Ford,Mustang,Coupe,Automatic,RWD,Private Party,2020.0,49400.0,48.0,0,1,1,0,29750.0,sold,2020 Ford Mustang GT Coupe Premium,"Ended October 21st, 2025 at 2:06 AM","Woodstock, GA 30189",6.0
Porsche,987 Cayman,Coupe,Automatic,RWD,Dealer,2008.0,74600.0,27.0,0,1,0,0,20000.0,sold,2008 Porsche Cayman S,Ended January 9th at 3:54 AM,"Tacoma, WA 98409",18.0
Military Vehicle,Humvee/HMMWV,SUV/Crossover,Automatic,4WD/AWD,Dealer,2001.0,8400.0,10.0,0,0,0,0,15000.0,sold,2001 AM General M997A2,Ended January 21st at 5:33 AM,"Anaheim, CA 92801",25.0
Lamborghini,Huracan,Convertible,Automatic,4WD/AWD,Private Party,2016.0,5700.0,82.0,0,0,1,0,223000.0,sold,2016 Lamborghini Huracan LP610-4 Spyder,Ended January 14th at 2:30 AM,"Fair Lawn, NJ 07410",10.0
Ford,Focus,Hatchback,Manual,FWD,Private Party,2003.0,86500.0,11.0,1,0,1,0,6400.0,sold,2003 Ford Focus SVT 5-Door,"Ended October 23rd, 2025 at 3:01 AM","Crofton, MD 21114",23.0
Audi,Q7,SUV/Crossover,Automatic,4WD/AWD,Dealer,2013.0,142000.0,19.0,0,0,0,1,6700.0,sold,2013 Audi Q7 TDI Premium Plus,Ended February 5th at 3:30 AM,"Orlando, FL 32820",13.0
Porsche,997 911,Coupe,Manual,RWD,Private Party,2006.0,39000.0,19.0,1,1,1,0,57500.0,sold,2006 Porsche 911 Carrera S Coupe,"Ended October 30th, 2025 at 4:02 AM","Savannah, GA 31411",20.0
Ford,Mustang,Coupe,Automatic,RWD,Dealer,1966.0,35300.0,57.0,0,1,0,0,16500.0,sold,1966 Ford Mustang Coupe,"Ended November 20th, 2025 at 4:18 AM","Lewisville, TX 75057",60.0
BMW,E46 M3,Convertible,Manual,RWD,Dealer,2002.0,71800.0,6.0,1,1,0,0,17250.0,sold,2002 BMW M3 Convertible,Ended February 13th at 3:14 AM,"Ottsville, PA 18942",24.0
Honda,S2000,Convertible,Manual,RWD,Private Party,1999.0,99000.0,54.0,1,1,1,0,15555.0,sold,1999 Honda S2000,"Ended October 15th, 2025 at 3:18 AM","Saint Paul, MN 55124",27.0
AM General,Hummer,Truck,Automatic,4WD/AWD,Dealer,2012.0,7300.0,23.0,0,0,0,0,8300.0,sold,2012 AM General M1097R1,"Ended December 24th, 2025 at 3:31 AM","Angier, NC 27501",14.0
Porsche,996 911,Coupe,Automatic,RWD,Private Party,2002.0,97600.0,26.0,0,1,1,0,15996.0,sold,2002 Porsche 911 Carrera Coupe,"Ended October 17th, 2025 at 1:57 AM","Corpus Christi, TX 78418",24.0
Oldsmobile,Toronado,Coupe,Automatic,FWD,Private Party,1987.0,96700.0,16.0,0,0,1,0,3981.0,sold,1987 Oldsmobile Toronado Trofeo,Ended February 17th at 3:36 AM,"Loganville, GA 30052",39.0
Mercedes-Benz,Sprinter,Van/Minivan,Automatic,RWD,Private Party,2019.0,57800.0,43.0,0,1,1,0,82000.0,sold,2019 Mercedes-Benz Sprinter 3500 Midwest Automotive Designs Executive Van,"Ended November 13th, 2025 at 3:25 AM","Las Vegas, NV 89149",7.0
Jaguar,F-Type,Convertible,Automatic,RWD,Dealer,2016.0,61600.0,37.0,0,1,0,0,20750.0,sold,2016 Jaguar F-Type Convertible,"Ended November 14th, 2025 at 2:49 AM","Lynnwood, WA 98037",10.0
Cadillac,DTS,Sedan,Automatic,FWD,Dealer,2007.0,77700.0,22.0,0,0,0,0,5300.0,sold,2007 Cadillac DTS Luxury I,Ended February 11th at 3:32 AM,"Orlando, FL 32820",19.0
Porsche,986 Boxster,Convertible,Manual,RWD,Dealer,1998.0,59100.0,18.0,1,1,0,0,10100.0,sold,1998 Porsche Boxster,Ended January 7th at 3:22 AM,"Alpharetta, GA 30004",28.0
Porsche,996 911,Convertible,Manual,4WD/AWD,Private Party,2002.0,75400.0,24.0,1,0,1,0,25250.0,sold,2002 Porsche 911 Carrera 4 Cabriolet,Ended January 22nd at 3:06 AM,"Winter Park, FL 32792",24.0
Toyota,Avalon,Sedan,Automatic,FWD,Private Party,1998.0,90600.0,32.0,0,0,1,0,6000.0,sold,1998 Toyota Avalon XL,"Ended October 29th, 2025 at 2:50 AM","Bakersfield, CA 93305",28.0
MINI,Cooper,Hatchback,Manual,FWD,Dealer,2002.0,74200.0,29.0,1,0,0,0,5155.0,sold,2002 Mini Cooper S,Ended January 6th at 2:47 AM,"Mesa, AZ 85202",24.0
Mazda,NA Miata,Convertible,Manual,RWD,Private Party,1997.0,67000.0,26.0,1,1,1,0,8000.0,sold,1997 Mazda MX-5 Miata,"Ended December 31st, 2025 at 5:22 AM","Westerville, OH 43081",29.0
Mercedes-Benz,W211 E63 AMG,Sedan,Automatic,RWD,Dealer,2008.0,40900.0,36.0,0,1,0,0,25750.0,sold,2008 Mercedes-Benz E63 AMG Sedan,"Ended December 20th, 2025 at 3:12 AM","New Orleans, LA 70115",18.0
Saab,9-3,Convertible,Automatic,FWD,Dealer,2006.0,61000.0,41.0,0,0,0,0,8100.0,sold,2006 Saab 9-3 Aero Convertible 20 Years Edition,Ended February 24th at 4:17 AM,"Katy, TX 77450",20.0
Chevrolet,Camaro,Coupe,Manual,RWD,Private Party,2002.0,950.0,29.0,1,1,1,0,35000.0,sold,2002 Chevrolet Camaro Z28 SS Coupe,"Ended November 29th, 2025 at 3:34 AM","McPherson, KS 67460",24.0
BMW,E9X M3,Coupe,Automatic,RWD,Private Party,2010.0,126000.0,30.0,0,1,1,1,22027.0,sold,2010 BMW M3 Coupe,"Ended November 15th, 2025 at 5:05 AM","Escondido, CA 92027",16.0
BMW,X5,SUV/Crossover,Automatic,4WD/AWD,Private Party,2011.0,116300.0,52.0,0,0,1,1,12600.0,sold,2011 BMW X5 xDrive35d,Ended February 13th at 4:08 AM,"Pikesville, MD 21208",15.0
Mercedes-Benz,S-Class,Sedan,Automatic,RWD,Private Party,2017.0,40000.0,61.0,0,1,1,0,31250.0,sold,2017 Mercedes-Benz S550 Sedan,"Ended November 6th, 2025 at 3:31 AM","Hialeah, FL 33014",9.0
Mercedes-Benz,CLK-Class,Convertible,Automatic,RWD,Dealer,2004.0,77100.0,20.0,0,1,0,0,6100.0,sold,2004 Mercedes-Benz CLK500 Cabriolet,"Ended December 18th, 2025 at 3:48 AM","Marietta, GA 30062",22.0
Ford,Mustang,Convertible,Automatic,RWD,Dealer,2004.0,41200.0,10.0,0,1,0,0,8100.0,sold,2004 Ford Mustang GT Premium Convertible,"Ended November 15th, 2025 at 3:42 AM","Spokane, WA 99212",22.0
Volvo,C70,Coupe,Manual,FWD,Private Party,1998.0,53400.0,36.0,1,0,1,0,19000.0,sold,1998 Volvo C70 Coupe,"Ended November 12th, 2025 at 4:49 AM","Valley Center, CA 92082",28.0
BMW,X5,SUV/Crossover,Automatic,4WD/AWD,Private Party,2011.0,67900.0,37.0,0,0,1,0,13500.0,sold,2011 BMW X5 xDrive35d,"Ended October 16th, 2025 at 3:28 AM","Orleans, MA 02653",15.0
Maserati,Ghibli,Sedan,Automatic,RWD,Private Party,2017.0,71700.0,17.0,0,1,1,0,20000.0,sold,2017 Maserati Ghibli S Nerissimo Edition,Ended February 24th at 4:34 AM,"Virginia Beach, VA 23462",9.0
Mercedes-Benz,G Wagen,SUV/Crossover,Automatic,4WD/AWD,Dealer,2015.0,53000.0,51.0,0,0,0,0,56000.0,sold,2015 Mercedes-Benz G63 AMG,Ended February 27th at 3:46 AM,"Auburn, CA 95602",11.0
Porsche,Cayenne,SUV/Crossover,Automatic,4WD/AWD,Dealer,2015.0,120500.0,31.0,0,0,0,1,20000.0,sold,2015 Porsche Cayenne Turbo,Ended February 5th at 3:04 AM,"Saint Louis, MO 63132",11.0
Porsche,Macan,SUV/Crossover,Automatic,4WD/AWD,Private Party,2017.0,28700.0,37.0,0,0,1,0,29000.0,sold,2017 Porsche Macan S,Ended February 28th at 3:18 AM,"Austin, TX 78745",9.0
