make,model,body_style,transmission_clean,drivetrain_clean,seller_type_clean,year,mileage_clean,bids_clean,is_manual,is_rwd,is_private_seller,is_high_mileage,sale_price,sold_status,title,auction_date,location,car_age
Toyota,Tundra,Truck,Automatic,4WD/AWD,Dealer,2004.0,163600.0,57.0,0,0,0,1,12600.0,sold,2004 Toyota Tundra Limited Access Cab V8 4x4,Ended February 10th at 3:30 AM,"Hortonville, WI 54944",22.0
BMW,M2,Coupe,Manual,RWD,Private Party,2021.0,28900.0,49.0,1,1,1,0,56000.0,sold,2021 BMW M2 Competition,"Ended November 26th, 2025 at 2:36 AM","San Jose, CA 95125",5.0
Porsche,997 911,Convertible,Manual,RWD,Private Party,2005.0,154400.0,21.0,1,1,1,1,21000.0,sold,2005 Porsche 911 Carrera Cabriolet,"Ended October 16th, 2025 at 3:11 AM","San Mateo, CA 94404",21.0
Volkswagen,Golf,Wagon,Automatic,FWD,Dealer,2016.0,87400.0,54.0,0,0,0,0,11500.0,sold,2016 Volkswagen Golf SportWagen S,Ended January 27th at 3:31 AM,"Pompano Beach, FL 33064",10.0
Chevrolet,Blazer,SUV/Crossover,Automatic,4WD/AWD,Private Party,2004.0,29400.0,43.0,0,0,1,0,12000.0,sold,2004 Chevrolet Blazer ZR2 4x4,"Ended October 28th, 2025 at 2:54 AM","Montgomery Village, MD 20886",22.0
Volvo,C30,Hatchback,Automatic,FWD,Dealer,2011.0,138100.0,6.0,0,0,0,1,4400.0,sold,2011 Volvo C30 T5,Ended February 20th at 3:30 AM,"Marietta, GA 30062",15.0
Audi,A6,Sedan,Automatic,4WD/AWD,Private Party,2013.0,43900.0,43.0,0,0,1,0,13100.0,sold,2013 Audi A6 3.0T Quattro Prestige,"Ended December 17th, 2025 at 5:14 AM","Boynton Beach, FL 33473",13.0
Alfa Romeo,Stelvio,SUV/Crossover,Automatic,4WD/AWD,Private Party,2022.0,44800.0,39.0,0,0,1,0,40000.0,sold,2022 Alfa Romeo Stelvio Quadrifoglio,Ended February 28th at 3:23 AM,"Charlotte, NC 28217",4.0
Acura,TL,Sedan,Automatic,FWD,Private Party,2007.0,141500.0,29.0,0,0,1,1,7600.0,sold,2007 Acura TL Type-S,"Ended October 18th, 2025 at 2:38 AM","Matthews, NC 28104",19.0
Volvo,C70,Convertible,Automatic,FWD,Dealer,2007.0,58000.0,38.0,0,0,0,0,9198.0,sold,2007 Volvo C70 T5,"Ended December 17th, 2025 at 3:48 AM","King Of Prussia, PA 19406",19.0
BMW,F10 M5,Sedan,Manual,RWD,Private Party,2013.0,89100.0,13.0,1,1,1,0,32250.0,sold,2013 BMW M5,"Ended December 5th, 2025 at 3:54 AM","Haverhill, MA 01830",13.0
BMW,3 Series,Sedan,Manual,RWD,Private Party,2007.0,128800.0,32.0,1,1,1,1,5100.0,sold,2007 BMW 328i Sedan,"Ended December 3rd, 2025 at 3:32 AM","Wheeling, IL 60090",19.0
BMW,6 Series,Coupe,Manual,RWD,Private Party,1986.0,120400.0,17.0,1,1,1,1,7500.0,sold,1986 BMW 635CSi,"Ended November 15th, 2025 at 4:06 AM","Scarborough, ME 04074",40.0
BMW,E9X M3,Coupe,Automatic,RWD,Private Party,2011.0,83000.0,78.0,0,1,1,0,37750.0,sold,2011 BMW M3 Coupe Competition Package,Ended February 10th at 3:43 AM,"Redwood City, CA 94065",15.0
BMW,F80 M3,Sedan,Automatic,RWD,Private Party,2018.0,62300.0,78.0,0,1,1,0,60500.0,sold,2018 BMW M3 CS,Ended January 27th at 4:41 AM,"Glendale, CA 91206",8.0
Porsche,Cayenne,SUV/Crossover,Automatic,4WD/AWD,Private Party,2008.0,97300.0,46.0,0,0,1,0,8116.0,sold,2008 Porsche Cayenne S,"Ended October 16th, 2025 at 2:27 AM","Rochester, NY 14624",18.0
Acura,TSX,Sedan,Manual,FWD,Private Party,2008.0,86300.0,40.0,1,0,1,0,12500.0,sold,2008 Acura TSX,Ended January 8th at 4:38 AM,"Orlando, FL 32819",18.0
Volkswagen,Eurovan,Van/Minivan,Automatic,FWD,Private Party,2003.0,202200.0,17.0,0,0,1,1,4815.0,sold,2003 Volkswagen EuroVan GLS,"Ended October 30th, 2025 at 1:46 AM","Mountlake Terrace, WA 98043",23.0
Porsche,Macan,SUV/Crossover,Automatic,4WD/AWD,Private Party,2015.0,65100.0,35.0,0,0,1,0,22269.0,sold,2015 Porsche Macan Turbo,"Ended December 4th, 2025 at 4:33 AM","Ponder, TX 76259",11.0
Maserati,Quattroporte,Sedan,Automatic,4WD/AWD,Private Party,2017.0,41500.0,24.0,0,0,1,0,25500.0,sold,2017 Maserati Quattroporte S Q4 GranLusso,"Ended November 26th, 2025 at 3:03 AM","Chester Springs, PA 19425",9.0
Bentley,Eight,Sedan,Automatic,RWD,Private Party,1988.0,64300.0,35.0,0,1,1,0,6100.0,sold,1988 Bentley Eight,Ended February 25th at 2:35 AM,"Seattle, WA 98109",38.0
Porsche,981 Boxster,Convertible,Manual,RWD,Private Party,2016.0,12800.0,30.0,1,1,1,0,103000.0,sold,2016 Porsche Boxster Spyder,Ended March 3rd at 4:56 AM,"San Jose, CA 95111",10.0
Honda,S2000,Convertible,Manual,RWD,Dealer,2007.0,19400.0,31.0,1,1,0,0,36638.0,sold,2007 Honda S2000,Ended February 28th at 3:13 AM,"Houston, TX 77074",19.0
Jaguar,F-Type,Coupe,Automatic,4WD/AWD,Private Party,2017.0,19500.0,26.0,0,0,1,0,52420.0,sold,2017 Jaguar F-Type SVR Coupe,"Ended December 17th, 2025 at 5:30 AM","Tucson, AZ 85742",9.0
Mazda,ND Miata,Convertible,Automatic,RWD,Dealer,2018.0,6500.0,36.0,0,1,0,0,20000.0,sold,2018 Mazda MX-5 Miata RF Grand Touring,Ended February 11th at 3:08 AM,"Burlington, NC 27215",8.0
Chevrolet,Silverado,Truck,Automatic,4WD/AWD,Private Party,2011.0,152350.0,9.0,0,0,1,1,16250.0,sold,2011 Chevrolet Silverado 2500HD LTZ 4x4,"Ended November 14th, 2025 at 3:50 AM","Santa Cruz, CA 95060",15.0
Saab,9-5,Sedan,Automatic,FWD,Private Party,2005.0,163500.0,11.0,0,0,1,1,2805.0,sold,2005 Saab 9-5 Aero Sedan,"Ended December 2nd, 2025 at 3:52 AM","Vancouver, WA 98665",21.0
Porsche,996 911,Convertible,Manual,4WD/AWD,Private Party,2004.0,64400.0,29.0,1,0,1,0,59000.0,sold,2004 Porsche 911 Turbo Cabriolet,Ended January 7th at 4:01 AM,"Miami, FL 33146",22.0
BMW,F8X M4,Convertible,Automatic,RWD,Private Party,2015.0,50800.0,38.0,0,1,1,0,24750.0,sold,2015 BMW M4 Convertible,"Ended December 11th, 2025 at 3:52 AM","Cumming, GA 30041",11.0
Audi,A4,Wagon,Manual,4WD/AWD,Private Party,2008.0,92800.0,51.0,1,0,1,0,12000.0,sold,2008 Audi A4 Avant 2.0T Quattro,Ended February 27th at 2:49 AM,"Portland, OR 97215",18.0
Porsche,Cayenne,SUV/Crossover,Automatic,4WD/AWD,Dealer,2013.0,101900.0,17.0,0,0,0,1,13350.0,sold,2013 Porsche Cayenne S,"Ended November 22nd, 2025 at 4:50 AM","Pompano Beach, FL 33060",13.0
Porsche,991 911,Coupe,Automatic,RWD,Private Party,2015.0,169100.0,44.0,0,1,1,1,39750.0,sold,2015 Porsche 911 Carrera S Coupe,"Ended December 2nd, 2025 at 3:42 AM","Carlsbad, CA 92009",11.0
Land Rover,LR4,SUV/Crossover,Automatic,4WD/AWD,Private Party,2013.0,186900.0,35.0,0,0,1,1,9500.0,sold,2013 Land Rover LR4 HSE LUX,"Ended December 17th, 2025 at 4:45 AM","Melbourne, FL 32934",13.0
Land Rover,Range Rover,SUV/Crossover,Automatic,4WD/AWD,Private Party,2012.0,123600.0,28.0,0,0,1,1,10199.0,sold,2012 Range Rover Supercharged,"Ended December 17th, 2025 at 4:06 AM","Hinsdale, IL 60521",14.0
Volvo,XC70,Wagon,Automatic,4WD/AWD,Dealer,2010.0,151100.0,30.0,0,0,0,1,6900.0,sold,2010 Volvo XC70 3.2 AWD,Ended February 14th at 3:47 AM,"Darby, PA 19023",16.0
BMW,M2,Coupe,Automatic,RWD,Private Party,2020.0,30600.0,27.0,0,1,1,0,44000.0,sold,2020 BMW M2 Competition,Ended January 15th at 2:38 AM,"Medfield, MA 02052",6.0
Jaguar,X-Type,Wagon,Automatic,4WD/AWD,Private Party,2006.0,26600.0,27.0,0,0,1,0,10000.0,sold,2006 Jaguar X-Type Sportwagon,Ended February 7th at 4:18 AM,"Vancouver, WA 98682",20.0
Jaguar,XJS,Coupe,Automatic,RWD,Private Party,1995.0,84500.0,36.0,0,1,1,0,10800.0,sold,1995 Jaguar XJS Coupe,Ended February 19th at 4:30 AM,"Pasadena, CA 91105",31.0
BMW,Z4,Convertible,Automatic,RWD,Private Party,2019.0,51600.0,21.0,0,1,1,0,26666.0,sold,2019 BMW Z4 sDrive30i,"Ended October 31st, 2025 at 2:18 AM","Highwood, IL 60040",7.0
Subaru,WRX STI,Sedan,Manual,4WD/AWD,Private Party,2016.0,94900.0,24.0,1,0,1,0,15000.0,sold,2016 Subaru Impreza WRX STI,Ended January 16th at 4:30 AM,"Indianapolis, IN 46280",10.0
BMW,F80 M3,Sedan,Manual,RWD,Private Party,2015.0,62800.0,31.0,1,1,1,0,41551.0,sold,2015 BMW M3,"Ended October 29th, 2025 at 3:06 AM","Carlsbad, CA 92009",11.0
Jaguar,XJR,Sedan,Automatic,RWD,Private Party,2003.0,122400.0,14.0,0,1,1,1,6100.0,sold,2003 Jaguar XJR-R1,"Ended November 21st, 2025 at 3:09 AM","Lawrenceville, GA 30043",23.0
Subaru,WRX STI,Sedan,Manual,4WD/AWD,Private Party,2021.0,21400.0,37.0,1,0,1,0,35000.0,sold,2021 Subaru WRX STI Limited,"Ended December 11th, 2025 at 4:48 AM","Cheshire, CT 06410",5.0
Toyota,Supra,Coupe,Automatic,RWD,Private Party,2022.0,67500.0,37.0,0,1,1,0,42000.0,sold,2022 Toyota Supra 3.0 Premium,"Ended November 15th, 2025 at 2:44 AM","Moyock, NC 27958",4.0
BMW,1 Series,Coupe,Automatic,RWD,Private Party,2013.0,196300.0,28.0,0,1,1,1,11250.0,sold,2013 BMW 128i Coupe,Ended March 3rd at 3:35 AM,"Beamsville, Ontario, Canada",13.0
Daihatsu,Hijet,Truck,Manual,4WD/AWD,Private Party,1999.0,10400.0,9.0,1,0,1,0,8781.0,sold,1999 Daihatsu Hijet Truck 4WD,Ended February 21st at 3:34 AM,"Quincy, MA 02170",27.0
MG,F,Convertible,Manual,RWD,Private Party,1996.0,14900.0,56.0,1,1,1,0,8650.0,sold,1996 MG F,Ended February 6th at 3:16 AM,"Miami, FL 33155",30.0
BMW,3 Series,Sedan,Manual,4WD/AWD,Private Party,2016.0,70900.0,26.0,1,0,1,0,27250.0,sold,2016 BMW 340i xDrive Sedan,"Ended November 29th, 2025 at 5:11 AM","Alpine, NJ 07620",10.0
Buick,Regal,Coupe,Automatic,RWD,Private Party,1987.0,99400.0,39.0,0,1,1,0,9700.0,sold,1987 Buick Regal Limited,"Ended November 29th, 2025 at 4:15 AM","Long Valley, NJ 07853",39.0
BMW,5 Series,Wagon,Manual,RWD,Private Party,1992.0,120600.0,38.0,1,1,1,1,14750.0,sold,1992 BMW 525i Touring,"Ended November 25th, 2025 at 3:16 AM","North Plains, OR 97133",34.0
BMW,X5,SUV/Crossover,Automatic,4WD/AWD,Dealer,2012.0,99200.0,21.0,0,0,0,0,10305.0,sold,2012 BMW X5 xDrive35d,"Ended December 6th, 2025 at 3:18 AM","Lathrop, CA 95330",14.0
Volvo,C30,Hatchback,Manual,FWD,Private Party,2013.0,99500.0,46.0,1,0,1,0,9400.0,sold,2013 Volvo C30 T5 R-Design,"Ended October 24th, 2025 at 3:40 AM","Belen, NM 87002",13.0
McLaren,570S,Coupe,Automatic,RWD,Private Party,2017.0,60500.0,14.0,0,1,1,0,89000.0,sold,2017 McLaren 570S,Ended February 5th at 4:46 AM,"Chula Vista, CA 91913",9.0
Toyota,Land Cruiser,SUV/Crossover,Automatic,4WD/AWD,Dealer,2001.0,191800.0,12.0,0,0,0,1,11000.0,sold,2001 Toyota Land Cruiser,"Ended October 21st, 2025 at 3:46 AM","Lincoln, RI 02865",25.0
Chevrolet,Monte Carlo,Coupe,Automatic,RWD,Private Party,1972.0,44700.0,25.0,0,1,1,0,16000.0,sold,1972 Chevrolet Monte Carlo,"Ended November 29th, 2025 at 3:54 AM","Oklahoma City, OK 73160",54.0
Honda,Accord,Sedan,Automatic,FWD,Private Party,1988.0,106000.0,15.0,0,0,1,1,6000.0,sold,1988 Honda Accord LX-i Sedan,"Ended October 31st, 2025 at 2:26 AM","Orlando, FL 32825",38.0
Mercedes-Benz,S-Class,Sedan,Automatic,RWD,Private Party,2007.0,123500.0,49.0,0,1,1,1,10999.0,sold,2007 Mercedes-Benz S600,"Ended October 16th, 2025 at 4:02 AM","Chandler, AZ 85225",19.0
BMW,F8X M4,Coupe,Manual,RWD,Private Party,2018.0,16200.0,10.0,1,1,1,0,53500.0,sold,2018 BMW M4 Coupe Competition Package,Ended January 21st at 5:39 AM,"Suwanee, GA 30024",8.0
Ford,Mustang,Coupe,Manual,RWD,Private Party,2005.0,54000.0,23.0,1,1,1,0,26005.0,sold,2005 Ford Mustang GT Ultimate AutoSports Eleanor Tribute Coupe,Ended January 24th at 4:48 AM,"Euless, TX 76039",21.0
Porsche,Panamera,Sedan,Automatic,4WD/AWD,Private Party,2014.0,34500.0,27.0,0,0,1,0,41888.0,sold,2014 Porsche Panamera Turbo,Ended February 3rd at 4:39 AM,"Barrington, IL 60010",12.0
Lexus,LX,SUV/Crossover,Automatic,4WD/AWD,Private Party,2003.0,600.0,34.0,0,0,1,0,67000.0,sold,2003 Lexus LX 470,Ended January 6th at 2:40 AM,"Phoenix, AZ 85020",23.0
Porsche,992 911,Convertible,Automatic,RWD,Private Party,2022.0,17200.0,56.0,0,1,1,0,115000.0,sold,2022 Porsche 911 Carrera Cabriolet,Ended January 16th at 4:48 AM,"Edgewater, MD 21037",4.0
Ford,Expedition,SUV/Crossover,Automatic,4WD/AWD,Private Party,2023.0,17900.0,34.0,0,0,1,0,51250.0,sold,2023 Ford Expedition Limited 4x4,"Ended November 18th, 2025 at 3:22 AM","Denver, CO 80249",3.0
Acura,RL,Sedan,Automatic,FWD,Private Party,2002.0,29700.0,17.0,0,0,1,0,7450.0,sold,2002 Acura 3.5RL,"Ended October 23rd, 2025 at 2:22 AM","Wilmington, DE 19807",24.0
Dodge,Dakota,Truck,Automatic,RWD,Private Party,1989.0,93300.0,17.0,0,1,1,0,8888.0,sold,1989 Dodge Dakota Sport Convertible,"Ended October 21st, 2025 at 1:49 AM","Strafford, MO 65757",37.0
Rover,P4,Sedan,Manual,RWD,Private Party,1958.0,90500.0,26.0,1,1,1,0,6000.0,sold,1958 Rover P4 105S,Ended February 3rd at 2:38 AM,"Daly City, CA 94015",68.0
BMW,Z3,Coupe,Manual,RWD,Private Party,1999.0,67300.0,13.0,1,1,1,0,18750.0,sold,1999 BMW Z3 2.8i Coupe,"Ended November 1st, 2025 at 1:34 AM","Sterling Heights, MI 48314",27.0
Land Rover,Range Rover,SUV/Crossover,Automatic,4WD/AWD,Private Party,2015.0,87400.0,55.0,0,0,1,0,19250.0,sold,2015 Range Rover Supercharged,"Ended November 5th, 2025 at 4:10 AM","Elk Grove Village, IL 60007",11.0
BMW,i8,Coupe,Automatic,4WD/AWD,Private Party,2017.0,15500.0,39.0,0,0,1,0,51500.0,sold,2017 BMW i8 Coupe Protonic Red Edition,"Ended November 15th, 2025 at 5:03 AM","Chesterfield, MO 63017",9.0
Ford,F-150 Raptor,Truck,Automatic,4WD/AWD,Private Party,2014.0,140100.0,29.0,0,0,1,1,22250.0,sold,2014 Ford F-150 SVT Raptor Special Edition,Ended February 28th at 4:06 AM,"Spring Hill, TN 37174",12.0
BMW,3 Series,Convertible,Automatic,RWD,Dealer,2006.0,81000.0,25.0,0,1,0,0,9200.0,sold,2006 BMW 330Ci ZHP Convertible,"Ended October 23rd, 2025 at 2:34 AM","Kenosha, WI 53142",20.0
Jeep,Wrangler,SUV/Crossover,Manual,4WD/AWD,Dealer,2010.0,85700.0,25.0,1,0,0,0,10250.0,sold,2010 Jeep Wrangler Rubicon 4x4,"Ended December 20th, 2025 at 2:53 AM","Pompano Beach, FL 33060",16.0
Smart,Fortwo,Hatchback,Manual,RWD,Private Party,2016.0,92400.0,32.0,1,1,1,0,7900.0,sold,2016 Smart Fortwo Passion,Ended January 28th at 3:31 AM,"Beverly Hills, CA 90212",10.0
Porsche,Cayenne,SUV/Crossover,Automatic,4WD/AWD,Dealer,2015.0,120500.0,42.0,0,0,0,1,20500.0,sold,2015 Porsche Cayenne Turbo,Ended January 22nd at 4:38 AM,"Saint Louis, MO 63132",11.0
BMW,1 Series,Convertible,Automatic,RWD,Private Party,2008.0,132300.0,26.0,0,1,1,1,7500.0,sold,2008 BMW 128i Convertible,"Ended November 7th, 2025 at 4:39 AM","Oak View, CA 93022",18.0
Audi,S5,Coupe,Automatic,4WD/AWD,Private Party,2014.0,46700.0,46.0,0,0,1,0,15600.0,sold,2014 Audi S5 Coupe Premium Plus,"Ended December 16th, 2025 at 5:24 AM","Valley Village, CA 91607",12.0
Mercedes-Benz,S-Class,Sedan,Automatic,RWD,Private Party,1987.0,145600.0,35.0,0,1,1,1,6500.0,sold,1987 Mercedes-Benz 420SEL,"Ended November 19th, 2025 at 3:03 AM","Purchase, NY 10577",39.0
Mercedes-Benz,S-Class AMG,Coupe,Automatic,RWD,Dealer,2015.0,17700.0,17.0,0,1,0,0,75000.0,sold,2015 Mercedes-AMG S65 Coupe,Ended March 3rd at 4:10 AM,"Saint George, UT 84770",11.0
Chevrolet,Tahoe,SUV/Crossover,Automatic,4WD/AWD,Private Party,2003.0,190900.0,31.0,0,0,1,1,8800.0,sold,2003 Chevrolet Tahoe Z71 4x4,Ended February 7th at 2:50 AM,"Dallas, TX 75238",23.0
Porsche,987 Boxster,Convertible,Manual,RWD,Private Party,2006.0,102100.0,37.0,1,1,1,1,15672.0,sold,2006 Porsche Boxster,"Ended December 4th, 2025 at 2:49 AM","Eden Prairie, MN 55347",20.0
Audi,A7,Sedan,Automatic,4WD/AWD,Private Party,2016.0,62400.0,26.0,0,0,1,0,17500.0,sold,2016 Audi A7,"Ended October 31st, 2025 at 2:24 AM","Oceanside, CA 92057",10.0
BMW,Z4,Convertible,Manual,RWD,Private Party,2025.0,13300.0,30.0,1,1,1,0,67000.0,sold,2025 BMW Z4 M40i Handschalter,Ended February 4th at 4:49 AM,"Phoenix, AZ 85003",1.0
Toyota,Tacoma,Truck,Manual,4WD/AWD,Private Party,1998.0,187400.0,35.0,1,0,1,1,10100.0,sold,1998 Toyota Tacoma Xtracab 4x4,"Ended December 18th, 2025 at 3:34 AM","North Las Vegas, NV 89031",28.0
Porsche,Panamera,Sedan,Automatic,4WD/AWD,Private Party,2012.0,101700.0,17.0,0,0,1,1,13000.0,sold,2012 Porsche Panamera 4S,Ended January 10th at 3:12 AM,"Crete, IL 60417",14.0
